Drug_ID	Drug	Y
0	"Fc1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1F"	1
1	"COc1cc(N2Cc3ccc(Sc4ccc(F)cc4)nc3C2=O)ccc1OCCN1CCCC1"	0
2	"CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C(N)=O)c4ccc(C(F)(F)F)cc34)C2)CC1"	0
3	"N[C@@H](Cn1c(=O)cnc2ccc(F)cc21)C1CCC(NCc2ccc3c(n2)NC(=O)CO3)CC1"	0
4	"O=C(NC1COc2cccc(-c3ccnc(CO)c3)c2C1)c1ccc(OCC(F)(F)F)nc1"	0
5	"Cc1cc(Nc2cncc(N[C@@H](C)c3ncc(F)cn3)n2)n[nH]1"	0
6	"C[N+]1CC[N+](CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1"	0
7	"CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12"	0
8	"O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1"	1
9	"COc1ccc(-c2cc(-c3ccc(C(=O)N(C)C)cc3)cnc2N)cn1"	0
10	"N[C@H]1C[C@@H](N2Cc3nn4cccnc4c3C2)CC[C@@H]1c1cc(F)c(F)cc1F"	0
11	"CN(C)Cc1ccccc1-c1ccc(NC(=O)Nc2cccnc2Oc2ccccc2C(C)(C)C)c(F)c1"	1
12	"Cc1ccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)cc1"	1
13	"COc1cccc(-n2cc3nc(-c4ccccc4C)n(CC4CCCN(C(C)C)C4)c(=O)c3n2)c1"	0
14	"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O"	0
15	"C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C"	0
16	"Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(C2CCOCC2)n1C)CC3"	0
17	"O=c1ccc2ncc(F)c3c2n1CC3(O)CC12CCC(NCc3cc4c(nn3)OCCO4)(CC1)CO2"	0
18	"COc1ccc(OC2CN(C(=O)NC3CCN(Cc4ccn(-c5ccc(C(F)(F)F)cc5)c4)CC3)C2)cc1"	1
19	"O=C1COc2ccc(CNC34CCC(C[C@]5(O)Cn6c(=O)ccc7nc(Cl)c(F)c5c76)(CC3)OC4)nc2N1"	0
20	"O=S(=O)(c1ccc(F)cc1)N1CCN(CCc2ccc(F)cc2F)CC1"	1
21	"CC(C)(O)c1nc2cc(Cl)ccc2n1[C@H]1CC[C@@H](NC[C@H]2Cc3ccc(C#N)cc3C2)CC1"	1
22	"O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CCN(CCC2CCN(C(=O)c3ccccc3F)CC2)C1"	0
23	"COc1cc(CN2CCOCC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1"	1
24	"O=C1NC(=O)/C(=C\c2ccccc2OCc2nnc(-c3ccccc3)o2)S1"	0
25	"OC(c1ccccc1)(c1ccccc1)C1CCN(CCCOc2ccc(-c3ccccc3)cc2)CC1"	1
26	"Cc1cc(O[C@H](CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F"	1
27	"CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2nc3cc(F)ccc3s2)CC1"	1
28	"N#CC=C1CCN(c2ccc(N3C[C@H](Cn4cc(F)nn4)OC3=O)cc2F)CC1"	1
29	"O=C(O)c1ccc(Oc2ccc(CN3CCC(N4C(=O)N(C5CCCCC5)C[C@H]4c4ccccc4)CC3)cc2)cc1"	1
30	"FC(F)(F)c1ccccc1CN(C1CCOCC1)C1CCNC1"	1
31	"C[C@@H]1CCCN1CCCOc1ccc(N2CCN(C(=O)c3ccc(C#N)cc3)CC2=O)cc1"	0
32	"Cc1ccccc1C(=O)N(CC1CCC1)[C@H]1CCNC1"	0
33	"CS(=O)(=O)NCCN1CC2CN(CCCOc3ccc(C#N)cc3)CC(C1)O2"	0
34	"O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(OC(F)(F)F)cc1)C2"	0
35	"C[NH+](C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1"	0
36	"C=CCOc1ccc(Cl)cc1[C@H]1C[C@@H]1CN"	1
37	"CCN(CC)CCN1CCCc2cc(NC(=N)c3cccs3)ccc21"	1
38	"COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1"	1
39	"O=C(c1ccccc1Oc1ccccc1)N(CC1CCC1)C1CCNC1"	1
40	"CN(CCN1CCN(c2ccc3c(c2)OCO3)C1=O)CC12CCC(CC1)C2(C)C"	1
41	"CC1(C)Oc2ccc(NC(=O)c3ccc(C#N)cn3)cc2C2(COC(N)=N2)C12COC2"	0
42	"C[C@H]1[C@H](/C=C/c2ccc(-c3ccccc3C#N)cn2)[C@@H]2[C@@H](C)OC(=O)[C@]2(C(C)(C)C(N)=O)CC1(F)F"	0
43	"CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(C)c1"	1
44	"CC[C@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccccc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1"	0
